Created_at;tweets
2020-03-19 19:43:15;"@WhiteHouse Is this you, stephen????

#TrumpPandemic"
2020-03-19 19:43:13;"Allowing doctors to practice across state lines will allow more Americans to get the care they need.
 
We can’t all… https://t.co/CVNuo25eRK"
2020-03-19 19:43:13;@WhiteHouse really. one town in Itay stopped the spread bytesting every person. Asymtomatic positive patients were… https://t.co/8pyJYvHW6M
2020-03-19 19:43:13;@WhiteHouse Yes, if that is the name of consensus. But this virus already has a name COVID-19. Calling it the Chinese Virus is wrong.
2020-03-19 19:43:06;@JoeSteelerFan @WhiteHouse @realDonaldTrump @fema A stupid man's report of what a clever man says can never be accu… https://t.co/lBeWqD3j2B
2020-03-19 19:43:05;@WhiteHouse @realDonaldTrump You are a joke
2020-03-19 19:43:04;"@WhiteHouse @realDonaldTrump Eventually  ... but on January 20 President Biden will take office ... &amp; your disastro… https://t.co/4LviPdCzQZ"
2020-03-19 19:43:03;@WhiteHouse @realDonaldTrump He's killed the economy.  Will he resort to socialists tactics to salvage his mess.  Y… https://t.co/nFOxpm2Eni
2020-03-19 19:43:02;"@WhiteHouse Those trying to divide us (Trump &amp; his @GOP) must resign &amp; get out of there before they do any more dam… https://t.co/Orl7TnHhZQ"
2020-03-19 19:43:01;What kind of journalists are these in the @WhiteHouse press conference? At mark 1:10:30 Questions From OAN:  “1 - I… https://t.co/8ZNxXfNuun
2020-03-19 19:43:01;@WhiteHouse @realDonaldTrump @fema His a funny fucker
2020-03-19 19:43:01;@SenWarren @WhiteHouse @FoxNews Elizabeth shut the hell up once and for all and go have a beer with your husband
2020-03-19 19:43:00;@WhiteHouse STFU and get back to the issue at hand!
2020-03-19 19:42:59;"@tedlieu @WhiteHouse 😢😢😢😢😢😢
somebody call teddy a waaaaahmbulance!!!"
2020-03-19 19:42:59;@seanhannity THERE SHOULD BE A WALL AROUND THE WHITEHOUSE UNTIL IT IS DISINFECTED!
2020-03-19 19:42:57;@AfterFX @WhiteHouse @realDonaldTrump @fema You seriously don't think that effects them to have the president pushi… https://t.co/hXbTVTPtEP
2020-03-19 19:42:57;Trump disgraces the Whitehouse by his sheer existence https://t.co/SBS5sPbkhL
2020-03-19 19:42:56;@WhiteHouse @realDonaldTrump Every time you use the racist term of “Chinese virus” we will call it the #TrumpVirus… https://t.co/8Htib4a64J
2020-03-19 19:42:56;@tedlieu @WhiteHouse Good lord! No one cares!
2020-03-19 19:42:55;"@WhiteHouse Chinese isn’t a place, nimrods.  

CNN has called the President lots of things - perhaps we should adop… https://t.co/8gkOu9NlSn"
2020-03-19 19:42:53;"@tedlieu @WhiteHouse It's the #ChineseVirus because of where it originated. 

What's your excuse?"
2020-03-19 19:42:53;@WhiteHouse Efffff offfffff
2020-03-19 19:42:53;.Calling the #coronavirus by any other name is not accurate!   @WhiteHouse A real leader would know that.… https://t.co/C8X0mY7uAX
2020-03-19 19:42:50;@WhiteHouse You look terrible. The fact your justifying racism by saying they were racist first (if that’s true) do… https://t.co/xkaawaOHK0
2020-03-19 19:42:50;@tedlieu @WhiteHouse THE CHINESE VIRUS!
2020-03-19 19:42:50;@tedlieu @WhiteHouse Dear @tedlieu, no. It started in China, we can call it whatever we want. Stop worrying about v… https://t.co/fmc0s9J5ki
2020-03-19 19:42:49;@WhiteHouse @VP Thanks for the late notice assholes. Good thing state and local governments are leading  better than the feds.
2020-03-19 19:42:48;"@tedlieu @WhiteHouse There not called test ""kits"" either. Stay in your lane! #ChinaLiedPeopleDied #ChinaVirus #WuhanVirus #ChineseVirus"
2020-03-19 19:42:46;@briantylercohen @realDonaldTrump @WhiteHouse Exactly.
2020-03-19 19:42:45;@WhiteHouse Arnt you glad the fed ignored your stupid advice as they would not have been able to respond to this cr… https://t.co/j5WLzCmncO
2020-03-19 19:42:45;@AlaminskiFritz @Autarkh @WhiteHouse Why?  Trump will be gone and with any luck be in prison. It’s reason to celebrate.
2020-03-19 19:42:45;@tedlieu @WhiteHouse Are you going to lead the charge to get rid of the names of all other virus that are named for… https://t.co/KLLkqCbyxP
2020-03-19 19:42:44;"While this is NOT a ""Chinese"" Flu/virus, its history was traced back to China. THIS is no excuse for racism nor was… https://t.co/pDr9gKpaTP"
2020-03-19 19:42:44;@JoeSteelerFan @WhiteHouse @realDonaldTrump @fema If an opinion contrary to your own makes you angry, that is a sig… https://t.co/sP0E8Iq1Uf
2020-03-19 19:42:43;"Pure EVIL!
@TrumpWarRoom @TeamTrump @WhiteHouse @DonaldJTrumpJr @realDonaldTrump @LouDobbs @IngrahamAngle… https://t.co/wG2TBv4osE"
2020-03-19 19:42:43;@tedlieu @WhiteHouse What have you been doing in Congress, let alone your own backyard, which has diseases from Third World countries.
2020-03-19 19:42:40;Racist-Lowlife-in-Chief and his moronic minions spend more time tweeting nonsense than doing their jobs!… https://t.co/JWjJb9loHk
2020-03-19 19:42:38;@ImWatchingToo @HHSGov @TheJusticeDept @WhiteHouse @CDCgov If I lived close I’d got get your groceries.
2020-03-19 19:42:38;@WhiteHouse @FLOTUS Hope you can keep your distance for POTUS! 😂😂
2020-03-19 19:42:35;I had to send N95 masks to my NP daughter in Seattle. DO NOT LET @WhiteHouse and @realDonaldTrump bullshit everyone… https://t.co/ZrPs8UNzhO
2020-03-19 19:42:34;@nancy_faust @cantpickanameff @WhiteHouse Obviously you don't know any liberals.
2020-03-19 19:42:34;@WhiteHouse @realDonaldTrump When this us over china will be the leader of the world. You will be the president that took USA down.
2020-03-19 19:42:30;He floating through even supporters never made him have long rallies. Look at the guy in the Whitehouse! No tax for… https://t.co/fIiyQrgpIw
2020-03-19 19:42:29;@Woman_on_Pause @tedlieu @WhiteHouse Pretty sure the Spanish flu hit everywhere as well. What about Ebola? SARS?
2020-03-19 19:42:28;@oldmageguy @SecAzar @WhiteHouse @POTUS Guess you never researched the act and ww2.
2020-03-19 19:42:25;@tedlieu @WhiteHouse Your crazy logics means everyone hates Germans because of measles,  Spaniards because of flu..… https://t.co/hcRvATwBmC
2020-03-19 19:42:24;"@WhiteHouse It's also a way to shit responsibitity for the virus yo china ..as un ""t take no responsibitity for this.."
2020-03-19 19:42:24;@ginak11707848 @WhiteHouse pitiful beggar
2020-03-19 19:42:22;@realDonaldTrump @VP @WhiteHouse F A I L U R E https://t.co/kWludsMH0D
2020-03-19 19:42:22;@WhiteHouse @realDonaldTrump @fema Mr President there are 43 millions American infected with Corona Virus and 2.1 m… https://t.co/Vnqxxnb2Ti
2020-03-19 19:42:22;@WyantDanzo @FT1965 @anchor_soul @WhiteHouse @realDonaldTrump @fema God bless you, too.
2020-03-19 19:42:22;@BeadingfanNancy @WhiteHouse @realDonaldTrump @fema If an opinion contrary to your own makes you angry, that is a s… https://t.co/roJR2pEgwq
2020-03-19 19:42:21;@WhiteHouse @realDonaldTrump You mean our so-so 2% growth economy that more or less has been the same as our econom… https://t.co/n3QmkGECSi
2020-03-19 19:42:20;@BigDeal151 @WhiteHouse @realDonaldTrump @fema ffers of emergency supplies, vehicles, and specialized equipment fro… https://t.co/YHMO14g5Rn
2020-03-19 19:42:19;@tedlieu @WhiteHouse You are part of the problem.
2020-03-19 19:42:19;They letting trump run this account too!? What’s wrong with y’all yo https://t.co/JGr9ouH4DL
2020-03-19 19:42:18;@tedlieu @WhiteHouse China virus.
2020-03-19 19:42:17;@WhiteHouse I thought it was a hoax snd the deplorables who voted for you clapped!!! What has changed?!
2020-03-19 19:42:16;@tedlieu @WhiteHouse Take care of California first you conspiring nut case.
2020-03-19 19:42:14;@hb348 @kimhyonchul1 @tedlieu @WhiteHouse Damn Liberals, that’s why! They even ruined the word racist...
2020-03-19 19:42:13;@phyllis1lasky @WhiteHouse @realDonaldTrump @POTUS Bot says what?
2020-03-19 19:42:12;@WhiteHouse Russian roulette anyone? You go first.
2020-03-19 19:42:10;@WhiteHouse @CDCgov @Surgeon_General Gen X-ers are the ones going around everywhere here. Y'all full of shit
2020-03-19 19:42:09;@WhiteHouse @realDonaldTrump @fema does President Trump ever rest hardest working president ever
2020-03-19 19:42:09;@BigDeal151 @WhiteHouse @realDonaldTrump @fema FEMA turned away trucks from Walmart loaded with water for New Orlea… https://t.co/IcTBKhv0C0
2020-03-19 19:42:09;@ReallyRealMissa @rescuegirl103 @WhiteHouse You misspelled Obama.
2020-03-19 19:42:08;@tedlieu @WhiteHouse That's a feel good name for Dems....call it what it really is...SARS-COV-2...from China
2020-03-19 19:42:07;@JerryCalvert76 @SecAzar @WhiteHouse @POTUS Faster than flu a/b?  When the first patient was diagnosed was when the… https://t.co/YUP4fY03Fe
2020-03-19 19:42:05;@WhiteHouse @realDonaldTrump Seriously, who thinks Biden could handle all this?
2020-03-19 19:42:04;@ItsPrettyLit2 @WhiteHouse @realDonaldTrump @fema BIRTHPLACE OF GOVERNMENT CORRUPTION https://t.co/o0pHc5vZ2y
2020-03-19 19:42:04;@lauraNYC212 @tedlieu @WhiteHouse For once!!! No kidding.
2020-03-19 19:42:02;"@tedlieu @WhiteHouse STOP! STOP! STOP!

THE AMOUNT OF TIME THAT YOU HAVE SPENT ON CRITICIZING PRESIDENT TRUMP,  FOR… https://t.co/gDvpDnpgPq"
2020-03-19 19:42:01;@WhiteHouse @realDonaldTrump Tell trump not to speak during newscast
2020-03-19 19:42:01;@WhiteHouse @realDonaldTrump Note the keyword - CORONAVIRUS. Not Chinese virus or Chinese flu. SAD! https://t.co/qoAwm8H3Mg
2020-03-19 19:42:00;@MainStreetMuse @CarmineSabia @tedlieu @WhiteHouse Uh, NOPE
2020-03-19 19:42:00;@LisaNMIWatson @WhiteHouse @realDonaldTrump Agreed. He pawned the soul of our nation for his brief moment in the limelight.
2020-03-19 19:42:00;@WhiteHouse @CDCDirector @Surgeon_General Where are you good DR??!!?!?!?!?!
2020-03-19 19:42:00;@ChrisAlbertoLaw @tedlieu @WhiteHouse You sound like a sheep following the Communist agenda
2020-03-19 19:41:59;@BigDeal151 @WhiteHouse @realDonaldTrump @fema The Red Cross was denied access to the Superdome in New Orleans to d… https://t.co/ccdT7mny3J
2020-03-19 19:41:59;@WhiteHouse Can you for once think of the humans?
2020-03-19 19:41:57;@WhiteHouse @realDonaldTrump @fema Yesterday the number was 6535 cases 😱Your losing it. https://t.co/K5sL0s2kdX
2020-03-19 19:41:57;"@WhiteHouse WHERE
ARE
THE
TESTS????

You are a MISERABLE, EMBARRASSING failure."
2020-03-19 19:41:56;@WhiteHouse Bounce back how? People are already worried about money!!!
2020-03-19 19:41:56;"@FlaDems 
#FLORIDA
NOT NEARLY GOOD ENOUGH
IT IS NOT JUST FLORIDA
IT IS WHOLE COUNTRY
UNLESS YOU ARE BUILDING
A WALL… https://t.co/RYY8h8a94f"
2020-03-19 19:41:55;@CarmineSabia @tedlieu @WhiteHouse WELL SAID CARMINE!  I SECOND THAT!
2020-03-19 19:41:55;@WhiteHouse @realDonaldTrump @fema Dawn of the Idiots.
2020-03-19 19:41:54;@tedlieu @WhiteHouse The kung flu Teddy bear....how is crazy Eddie buck?
2020-03-19 19:41:53;@WhiteHouse @realDonaldTrump Where’s Dr Fauci??
2020-03-19 19:41:49;@Kookieduck @boobooskdoo @austi1_jean @WhiteHouse @realDonaldTrump Why not?
2020-03-19 19:41:48;Call don't Go!! #coronavirus #COVID19US https://t.co/R79C9SWDf4
2020-03-19 19:41:47;@WhiteHouse @realDonaldTrump *shipping clerk
2020-03-19 19:41:47;"""The [anonymous @GOP] lawmaker said in order to get a bill through quick, it would have to be a deal cut by all fou… https://t.co/kpgBMT8W6F"
2020-03-19 19:41:46;@BigDeal151 @WhiteHouse @realDonaldTrump @fema EMA “refused Amtrak’s offer to evacuate victims, and wouldn’t return… https://t.co/Q1SW8vWelK
2020-03-19 19:41:46;@PMLorber @WhiteHouse @realDonaldTrump @fema If an opinion contrary to your own makes you angry, that is a sign tha… https://t.co/u0qPAbwPj9
2020-03-19 19:41:46;@tedlieu @WhiteHouse Get over your nationality it’s a China  virus that’s it... not time to worry bout fricken raci… https://t.co/5gm1LA309j
2020-03-19 19:41:46;@WhiteHouse Sigh. One more reason for my foreign friends to roast me. Thanks @realDonaldTrump
2020-03-19 19:41:45;@WhiteHouse If the WH had done it’s job the Pandemic task force would have been in place and we would be ahead of t… https://t.co/xboVVbe0FY
2020-03-19 19:41:45;@nancy_faust @cantpickanameff @WhiteHouse If it's his going up, then it's his going down.
2020-03-19 19:41:44;"@WhiteHouse Lies
Lies
Lies
More lies a out the Trump Plague
Lies
Lies
Lies"
2020-03-19 19:41:43;@Tracy02445131 @WhiteHouse This is what what happens when we elect someone with no governing experience who is noth… https://t.co/HuRTVvBQbF
2020-03-19 19:41:43;"Transparency like we’ve never seen. 

Love this man!!! @realDonaldTrump https://t.co/YSKOi3nZF9"
2020-03-19 19:41:43;They all knew and let the @WhiteHouse spread their hoax lies. @TheDemocrats @SenSanders @JoeBiden @SpeakerPelosi th… https://t.co/w1SGMfeXFw
2020-03-19 19:41:41;@WhiteHouse @realDonaldTrump when？
2020-03-19 19:41:41;@WhiteHouse @realDonaldTrump Why are we not talking about favipiravir, remdesivir and chloroquine. All of which app… https://t.co/kSUOz2oEe2
2020-03-19 19:41:39;@tedlieu @WhiteHouse That’s all you have to worry about ? Grow up
2020-03-19 19:41:38;@medfordtonka @WhiteHouse @realDonaldTrump @fema Please provide the video where he called it a hoax.
2020-03-19 19:41:38;@tedlieu @WhiteHouse Is china a race? Is America a race? How is saying something is Chinese racist? He isnt calling… https://t.co/AINVVQiBcg
2020-03-19 19:41:37;"@tedlieu @WhiteHouse Hey, If it's racist to call the coronavirus "" the Chinese virus"". Can we call it ""The Who Flun… https://t.co/ylu6vYI0Bb"
2020-03-19 19:41:35;Louder for the people in the back! https://t.co/CQyT6wrpsC
2020-03-19 19:41:35;@BigDeal151 @WhiteHouse @realDonaldTrump @fema Private medical air transport companies played an important role in… https://t.co/KVZBhn39rx
2020-03-19 19:41:33;@PRickardson @TomsWorkbench @WhiteHouse Rude.
2020-03-19 19:41:32;@tedlieu @WhiteHouse I hope @tedlieu catches Kung Flu!
2020-03-19 19:41:32;@WhiteHouse @realDonaldTrump @fema Our failing president must try harder to make tests available. He drug his lift shoe heels for weeks.
2020-03-19 19:41:32;Ya let’s just continue racism instead of trying to correct it 🙄 https://t.co/qoNFucF9Bf
2020-03-19 19:41:32;@BrandonBeckham_ @WhiteHouse @realDonaldTrump “The Federal government is not supposed to be out there buying vast a… https://t.co/U4AxRgfm9f
2020-03-19 19:41:30;@AndrewLeeLanier @SenatorBurr @WhiteHouse Better get out and vote, when appropriate and while following social dist… https://t.co/yIzqsg9QVi
2020-03-19 19:41:30;@waltdphillips @WhiteHouse @realDonaldTrump @fema Is the virus not spreading unchecked and untested across the country?
2020-03-19 19:41:30;@WhiteHouse @realDonaldTrump The only thing I have to say is wow this illegitimate president moron is out of contro… https://t.co/BEIkwB6U1q
2020-03-19 19:41:27;@WhiteHouse @realDonaldTrump I sure hope you’re right, but it will prop require government interference to avoid  people getting even poorer
2020-03-19 19:41:25;"@WhiteHouse @realDonaldTrump Consulting your inner ""hunch""?  You are not qualified to say anything about the virus.… https://t.co/nBK6CncJNV"
2020-03-19 19:41:24;@BigDeal151 @WhiteHouse @realDonaldTrump @fema FEMA turned away doctors volunteering their services at emergency fa… https://t.co/VIlI8CG06P
2020-03-19 19:41:23;@WhiteHouse @realDonaldTrump @fema Wasn’t it Jenius #DonaldJTrump  that said first Corona is a lie and then he call… https://t.co/aVnckrFCZo
2020-03-19 19:41:22;@_ReaalAmerican_ @kimmyann1111 @WhiteHouse @realDonaldTrump Just like he pretended not knowing about closing the Pa… https://t.co/Rv8DDMCGyq
