Created_at;tweets
2020-03-19 18:30:49;@tedlieu @WhiteHouse Mr. Lieu, please stop with these divisive remarks and trying to perpetuate outrage over a name… https://t.co/eeWjRDV6xF
2020-03-19 18:30:47;"@WhiteHouse @realDonaldTrump PSA: trump is an ef...in..gg scumbag through and through.
#COVID19
#COVID19us… https://t.co/1QBeytj2gM"
2020-03-19 18:30:46;@WhiteHouse It's #TrumpVirus. Y'all own it.
2020-03-19 18:30:46;@tedlieu @WhiteHouse Sure Lieu, let's just shit these things out. I still can't believe you're showing your face af… https://t.co/UUzfP3WLnk
2020-03-19 18:30:45;@WhiteHouse @realDonaldTrump WOW, our Patho Immature Narcissist (PIN) #PIN_Head_POTUS (child) has taken re-elect ca… https://t.co/JUe82u00Zu
2020-03-19 18:30:45;@nancy_faust @WhiteHouse Unfortunately the streak of growth that started a year into Obama's presidency has now bee… https://t.co/bfIVmzfoaq
2020-03-19 18:30:45;"@WhiteHouse Why does he have to always lay blame &amp; then do the bully attack.  The world has to deal with this &amp; your tirades don’t help😘!"
2020-03-19 18:30:45;@WhiteHouse our stranded citizens need help getting home!! https://t.co/IgvlOspmec
2020-03-19 18:30:43;@tedlieu @WhiteHouse And about that racial discrimination against Asians...you talking about college admissions? Ta… https://t.co/ggSHUbOm0R
2020-03-19 18:30:42;Yes and by then you will have been out of office for a year. https://t.co/8LRq5ixp0R
2020-03-19 18:30:42;@tedlieu @WhiteHouse The only spreading hate and division is you and your democRAT Comrades                I LIKE “… https://t.co/gAa28gO8Vq
2020-03-19 18:30:41;"The Storm Clouds Are Here!
Freedom.......Capitalism......!
Innovation......Smarts!!

@MikeDeWine @SenSherrodBrown… https://t.co/06rOZz98Mb"
2020-03-19 18:30:41;@WhiteHouse @realDonaldTrump Election Day 2020! FREE AT LAST!
2020-03-19 18:30:41;@WhiteHouse So let’s name the Swine Flu after American Pig Farmers.
2020-03-19 18:30:41;And like never before. My house is getting nearly perfectly organized https://t.co/rFx4K2l7OO https://t.co/SllQZ2y22e
2020-03-19 18:30:40;@tedlieu @WhiteHouse I thought ive blocked you liar
2020-03-19 18:30:35;@WhiteHouse @realDonaldTrump Lies by a demented incompetent trump
2020-03-19 18:30:33;@_ReaalAmerican_ @realDonaldTrump @WhiteHouse U dumb
2020-03-19 18:30:33;@ChrisAlbertoLaw @tedlieu @WhiteHouse Guess you’ve been watching communist controlled @MSNBC
2020-03-19 18:30:32;"@WhiteHouse @realDonaldTrump Soo disappointed in Trump and the Whitehouse!
Still Lying and blaming others.
Why he n… https://t.co/IJRgty70en"
2020-03-19 18:30:31;"@P0A_Triot23 @VincentCrypt46 @realDonaldTrump @WhiteHouse These people are stupid ! 

https://t.co/s6UMo7Oxex"
2020-03-19 18:30:28;"@WhiteHouse @realDonaldTrump Is this related to German government planes GAF 918 A343 ""Konrad Adenauer"" and GAF 951… https://t.co/EBBvguOQv1"
2020-03-19 18:30:27;"@Founta4Fountain @WhiteHouse There's a solution for commode paper shortage!
Its called tar paper or landscape fiber… https://t.co/CCHk5UcTNg"
2020-03-19 18:30:26;@Scavino45 @WhiteHouse @POTUS @realDonaldTrump @VP @Mike_Pence @USTreasury @stevenmnuchin1 Last night in the Oval O… https://t.co/7Gg7KwHTS6
2020-03-19 18:30:26;@WhiteHouse @realDonaldTrump Thanks for screwing the economy and every American due to your foolish lack of compreh… https://t.co/7gjZAj9Q1V
2020-03-19 18:30:24;@suzyaz2 @Autarkh @WhiteHouse Nothing has been botched you need to stop watching CNN. Again trump stopped flying to… https://t.co/kMfW1CsNCq
2020-03-19 18:30:23;@tedlieu @WhiteHouse Fact it was started in #WuhanCoronavirus #ChinaLiedPeopleDied  #Kungfuvirus #ChinaVirus
2020-03-19 18:30:23;@Founta4Fountain @WhiteHouse When will liberal media quit? Trump 2020🇺🇸🇺🇸🇺🇸
2020-03-19 18:30:21;@WhiteHouse @realDonaldTrump As a so-called billionaire, is it really ethical for him to receive BAILOUT$ for his o… https://t.co/3ehWRZyDSI
2020-03-19 18:30:19;@WhiteHouse @realDonaldTrump Define rapidly.
2020-03-19 18:30:19;@WhiteHouse @realDonaldTrump The Pence task force or the Kushner task force? You need to consolidate your White Hou… https://t.co/QnXCh8dma2
2020-03-19 18:30:18;@RepStevenSmith @tedlieu @WhiteHouse It whines so well.....and loud.......nothing good...just whine
2020-03-19 18:30:18;"@WhiteHouse @realDonaldTrump If Presiclown TrumpT &amp; whoever lured him into doing such an idiotic bioterroristic att… https://t.co/LgbHGfPFsm"
2020-03-19 18:30:17;@WhiteHouse Messed up on my tweet I apologize America it's Ziegler Walton school don't know where the other crap co… https://t.co/ucStg8Wao7
2020-03-19 18:30:17;@MbakutheManApe @DannyDeraney @WhiteHouse I'm lots of fun at parties. Just label the cheap Chinese crap that's alwa… https://t.co/JL37kLLwsq
2020-03-19 18:30:17;@WhiteHouse He is lying to you https://t.co/9jGyEQdJML
2020-03-19 18:30:16;@WhiteHouse @realDonaldTrump Ohhh @realDonaldTrump... The big companies you gave a tax cut to do something good to… https://t.co/8MjHr8QR7b
2020-03-19 18:30:16;"@tedlieu @WhiteHouse Ted your a virus 🦠 always spreading something fake &amp; hateful to the American people! You’ve al… https://t.co/oMAZMvyBx9"
2020-03-19 18:30:11;Such furniture as a corner sofa can fit into absolutely the best interior define Asher sofa New York-… https://t.co/tRV7rFWTAx
2020-03-19 18:30:11;@FreePePeNOW @SuiGeneris24601 @WhiteHouse You do realise that Trump is the only one that isn't a politician, he is… https://t.co/GJnp49RDVE
2020-03-19 18:30:10;Where is the 6 foot Social distancing here? https://t.co/UGyNHMXNbk
2020-03-19 18:30:08;@KevinMetz5 @MollyJongFast @WhiteHouse Trump's Constitutionally abominable tariffs decimated farmers and put US man… https://t.co/F1ZBUESsIQ
2020-03-19 18:30:08;@tedlieu @WhiteHouse Dear mr lieu. If u people would worry about helping Americans which are from every nation but… https://t.co/OJPLO3cSib
2020-03-19 18:30:06;@WhiteHouse @realDonaldTrump God bless America
2020-03-19 18:30:05;@XArmandKleinX @cq2101 @jack @POTUS @SenTedCruz @WhiteHouse @StateDept @VP But these masks, meds, as well as other… https://t.co/AsrIVRYLbO
2020-03-19 18:30:04;@JamesMacallan1 @Julio_Rosas11 @politicalelle @ChanelRion The disdain is for the criminal occupying the Whitehouse for the next few months
2020-03-19 18:30:03;@WhiteHouse @realDonaldTrump There were six weeks between the first confirmed case in the US and Trump taking this… https://t.co/MnXFgXCFRK
2020-03-19 18:30:00;@WhiteHouse @realDonaldTrump Only if you leave Mr. Impeached President. Leave NOW!
2020-03-19 18:30:00;@robtruthseeker @Twonnie261 @redroses1944 @ChidiNwatu @WhiteHouse What are you talking about?
2020-03-19 18:30:00;The #Left won't win the #WhiteHouse if it rallies around another 30% candidate that is why I am with #JoeBiden. https://t.co/VWkQMcvhKH
2020-03-19 18:29:59;@WhiteHouse @kimckimc12345 Make the america great again!!!!
